ComplexName,Sysname,Stdname
cytoplasmic ribosomal large subunit,YBL027W,RPL19B
cytoplasmic ribosomal large subunit,YPR102C,RPL11A
cytoplasmic ribosomal large subunit,YPR043W,RPL43A
cytoplasmic ribosomal large subunit,YPL143W,RPL33A
cytoplasmic ribosomal large subunit,YPL131W,RPL5
cytoplasmic ribosomal large subunit,YPL079W,RPL21B
cytoplasmic ribosomal large subunit,YOR234C,RPL33B
cytoplasmic ribosomal large subunit,YOL120C,RPL18A
cytoplasmic ribosomal large subunit,YNL162W,RPL42A
cytoplasmic ribosomal large subunit,YNL067W,RPL9B
cytoplasmic ribosomal large subunit,YMR121C,RPL15B
cytoplasmic ribosomal large subunit,YLR406C,RPL31B
cytoplasmic ribosomal large subunit,YLR344W,RPL26A
cytoplasmic ribosomal large subunit,YLR325C,RPL38
cytoplasmic ribosomal large subunit,YLR185W,RPL37A
cytoplasmic ribosomal large subunit,YLR061W,RPL22A
cytoplasmic ribosomal large subunit,YKR094C,RPL40B
cytoplasmic ribosomal large subunit,YKL006W,RPL14A
cytoplasmic ribosomal large subunit,YJR094W-A,RPL43B
cytoplasmic ribosomal large subunit,YJL189W,RPL39
cytoplasmic ribosomal large subunit,YIL148W,RPL40A
cytoplasmic ribosomal large subunit,YIL052C,RPL34B
cytoplasmic ribosomal large subunit,YHR010W,RPL27A
cytoplasmic ribosomal large subunit,YGR148C,RPL24B
cytoplasmic ribosomal large subunit,YFL034C-A,RPL22B
cytoplasmic ribosomal large subunit,YER056C-A,RPL34A
cytoplasmic ribosomal large subunit,YEL054C,RPL12A
cytoplasmic ribosomal large subunit,YDR500C,RPL37B
cytoplasmic ribosomal large subunit,YDL191W,RPL35A
cytoplasmic ribosomal large subunit,YDL184C,RPL41A
cytoplasmic ribosomal large subunit,YDL133C-A,RPL41B
cytoplasmic ribosomal large subunit,YDL130W,RPP1B
cytoplasmic ribosomal large subunit,YDL081C,RPP1A
cytoplasmic ribosomal large subunit,YBR084C-A,RPL19A
cytoplasmic ribosomal small subunit,YOR096W,RPS7A
cytoplasmic ribosomal small subunit,YNL178W,RPS3
cytoplasmic ribosomal small subunit,YJR145C,RPS4A
cytoplasmic ribosomal small subunit,YDR064W,RPS13
cytoplasmic ribosomal small subunit,YPL090C,RPS6A
cytoplasmic ribosomal small subunit,YPL081W,RPS9A
cytoplasmic ribosomal small subunit,YOL040C,RPS15
cytoplasmic ribosomal small subunit,YNL302C,RPS19B
cytoplasmic ribosomal small subunit,YNL096C,RPS7B
cytoplasmic ribosomal small subunit,YML063W,RPS1B
cytoplasmic ribosomal small subunit,YML024W,RPS17A
cytoplasmic ribosomal small subunit,YLR441C,RPS1A
cytoplasmic ribosomal small subunit,YLR367W,RPS22B
cytoplasmic ribosomal small subunit,YLR287C-A,RPS30A
cytoplasmic ribosomal small subunit,YJR123W,RPS5
cytoplasmic ribosomal small subunit,YJL190C,RPS22A
cytoplasmic ribosomal small subunit,YIL069C,RPS24B
cytoplasmic ribosomal small subunit,YHR203C,RPS4B
cytoplasmic ribosomal small subunit,YGR118W,RPS23A
cytoplasmic ribosomal small subunit,YGL123W,RPS2
cytoplasmic ribosomal small subunit,YER102W,RPS8B
cytoplasmic ribosomal small subunit,YER074W,RPS24A
cytoplasmic ribosomal small subunit,YDR447C,RPS17B
cytoplasmic ribosomal small subunit,YDR025W,RPS11A
cytoplasmic ribosomal small subunit,YDL083C,RPS16B
cytoplasmic ribosomal small subunit,YCR031C,RPS14A
cytoplasmic ribosomal small subunit,YBR189W,RPS9B
cytoplasmic ribosomal small subunit,YBR181C,RPS6B
cytoplasmic ribosomal small subunit,YBR048W,RPS11B
cytoplasmic ribosomal small subunit,YBL072C,RPS8A
cytoplasmic ribosomal small subunit,YPR132W,RPS23B
cytoplasmic ribosomal small subunit,YOR369C,RPS12
cytoplasmic ribosomal small subunit,YOR293W,RPS10A
cytoplasmic ribosomal small subunit,YOR182C,RPS30B
cytoplasmic ribosomal small subunit,YOR167C,RPS28A
cytoplasmic ribosomal small subunit,YOL121C,RPS19A
cytoplasmic ribosomal small subunit,YMR230W,RPS10B
cytoplasmic ribosomal small subunit,YMR143W,RPS16A
cytoplasmic ribosomal small subunit,YMR116C,ASC1
cytoplasmic ribosomal small subunit,YML026C,RPS18B
cytoplasmic ribosomal small subunit,YLR388W,RPS29A
cytoplasmic ribosomal small subunit,YLR333C,RPS25B
cytoplasmic ribosomal small subunit,YLR264W,RPS28B
cytoplasmic ribosomal small subunit,YLR167W,RPS31
cytoplasmic ribosomal small subunit,YLR048W,RPS0B
cytoplasmic ribosomal small subunit,YKR057W,RPS21A
cytoplasmic ribosomal small subunit,YKL156W,RPS27A
cytoplasmic ribosomal small subunit,YJL191W,RPS14B
cytoplasmic ribosomal small subunit,YJL136C,RPS21B
cytoplasmic ribosomal small subunit,YHR021C,RPS27B
cytoplasmic ribosomal small subunit,YHL015W,RPS20
cytoplasmic ribosomal small subunit,YGR214W,RPS0A
cytoplasmic ribosomal small subunit,YGR027C,RPS25A
cytoplasmic ribosomal small subunit,YGL189C,RPS26A
cytoplasmic ribosomal small subunit,YER131W,RPS26B
cytoplasmic ribosomal small subunit,YDR450W,RPS18A
cytoplasmic ribosomal small subunit,YDL061C,RPS29B
nuclear pore,YLR208W,SEC13
nuclear pore,YER110C,KAP123
nuclear pore,YPL020C,ULP1
nuclear pore,YOR257W,CDC31
nuclear pore,YNL189W,SRP1
nuclear pore,YMR273C,ZDS1
nuclear pore,YMR153W,NUP53
nuclear pore,YLR347C,KAP95
nuclear pore,YJL030W,MAD2
nuclear pore,YGL086W,MAD1
nuclear pore,YDR424C,DYN2
nuclear pore,YBR111W-A,SUS1
nuclear pore,YBL079W,NUP170
nuclear pore,YPL169C,MEX67
nuclear pore,YPL125W,KAP120
nuclear pore,YOR112W,CEX1
nuclear pore,YOR098C,NUP1
nuclear pore,YOR046C,DBP5
nuclear pore,YOL072W,THP1
nuclear pore,YMR255W,GFD1
nuclear pore,YMR129W,POM152
nuclear pore,YMR047C,NUP116
nuclear pore,YML107C,PML39
nuclear pore,YML103C,NUP188
nuclear pore,YML031W,NDC1
nuclear pore,YLR335W,NUP2
nuclear pore,YLR018C,POM34
nuclear pore,YKR082W,NUP133
nuclear pore,YKL186C,MTR2
nuclear pore,YKL068W,NUP100
nuclear pore,YKL057C,NUP120
nuclear pore,YJR042W,NUP85
nuclear pore,YJL061W,NUP82
nuclear pore,YJL041W,NSP1
nuclear pore,YJL039C,NUP192
nuclear pore,YIL115C,NUP159
nuclear pore,YIL063C,YRB2
nuclear pore,YHR015W,MIP6
nuclear pore,YGR119C,NUP57
nuclear pore,YGL172W,NUP49
nuclear pore,YGL100W,SEH1
nuclear pore,YGL092W,NUP145
nuclear pore,YGL016W,KAP122
nuclear pore,YFR002W,NIC96
nuclear pore,YER107C,GLE2
nuclear pore,YER105C,NUP157
nuclear pore,YDR192C,NUP42
nuclear pore,YDR159W,SAC3
nuclear pore,YDL207W,GLE1
nuclear pore,YDL116W,NUP84
nuclear pore,YDL088C,ASM4
nuclear pore,YAR002W,NUP60
90S preribosome,YCR057C,PWP2
90S preribosome,YOR310C,NOP58
90S preribosome,YLR197W,NOP56
90S preribosome,YDL014W,NOP1
90S preribosome,YGR090W,UTP22
90S preribosome,YOR096W,RPS7A
90S preribosome,YJR145C,RPS4A
90S preribosome,YDR064W,RPS13
90S preribosome,YBR247C,ENP1
90S preribosome,YPL126W,NAN1
90S preribosome,YPR137W,RRP9
90S preribosome,YER127W,LCP5
90S preribosome,YPR144C,NOC4
90S preribosome,YPR112C,MRD1
90S preribosome,YPL266W,DIM1
90S preribosome,YPL217C,BMS1
90S preribosome,YPL012W,RRP12
90S preribosome,YOR145C,PNO1
90S preribosome,YOR078W,BUD21
90S preribosome,YOL010W,RCL1
90S preribosome,YNL132W,KRE33
90S preribosome,YNL075W,IMP4
90S preribosome,YMR128W,ECM16
90S preribosome,YMR093W,UTP15
90S preribosome,YLR409C,UTP21
90S preribosome,YLR222C,UTP13
90S preribosome,YLR186W,EMG1
90S preribosome,YLR129W,DIP2
90S preribosome,YLR003C,CMS1
90S preribosome,YLL011W,SOF1
90S preribosome,YKR060W,UTP30
90S preribosome,YJR002W,MPP10
90S preribosome,YJL109C,UTP10
90S preribosome,YJL069C,UTP18
90S preribosome,YHR196W,UTP9
90S preribosome,YHR148W,IMP3
90S preribosome,YGR145W,ENP2
90S preribosome,YGR128C,UTP8
90S preribosome,YGL171W,ROK1
90S preribosome,YER082C,UTP7
90S preribosome,YEL055C,POL5
90S preribosome,YDR449C,UTP6
90S preribosome,YDR398W,UTP5
90S preribosome,YDR324C,UTP4
90S preribosome,YDR299W,BFR2
90S preribosome,YDL148C,NOP14
90S preribosome,YCL059C,KRR1
90S preribosome,YBL004W,UTP20
"nucleolar preribosome, small subunit precursor (GO)",YNL178W,RPS3
"nucleolar preribosome, small subunit precursor (GO)",YKL143W,LTV1
"nucleolar preribosome, small subunit precursor (GO)",YJL010C,NOP9
"nucleolar preribosome, small subunit precursor (GO)",YGR081C,SLX9
"nucleolar preribosome, small subunit precursor (GO)",YBR247C,ENP1
mitochondtrial large ribosomal subunit,YGL068W,MNP1
mitochondtrial large ribosomal subunit,YPR100W,MRPL51
mitochondtrial large ribosomal subunit,YPL183W-A,RTC6
mitochondtrial large ribosomal subunit,YPL173W,MRPL40
mitochondtrial large ribosomal subunit,YOR150W,MRPL23
mitochondtrial large ribosomal subunit,YNR022C,MRPL50
mitochondtrial large ribosomal subunit,YNL284C,MRPL10
mitochondtrial large ribosomal subunit,YNL252C,MRPL17
mitochondtrial large ribosomal subunit,YNL185C,MRPL19
mitochondtrial large ribosomal subunit,YNL177C,MRPL22
mitochondtrial large ribosomal subunit,YNL005C,MRP7
mitochondtrial large ribosomal subunit,YMR286W,MRPL33
mitochondtrial large ribosomal subunit,YMR225C,MRPL44
mitochondtrial large ribosomal subunit,YMR193W,MRPL24
mitochondtrial large ribosomal subunit,YMR098C,ATP25
mitochondtrial large ribosomal subunit,YMR024W,MRPL3
mitochondtrial large ribosomal subunit,YML025C,YML6
mitochondtrial large ribosomal subunit,YML009C,MRPL39
mitochondtrial large ribosomal subunit,YLR439W,MRPL4
mitochondtrial large ribosomal subunit,YLR312W-A,MRPL15
mitochondtrial large ribosomal subunit,YKR085C,MRPL20
mitochondtrial large ribosomal subunit,YKR006C,MRPL13
mitochondtrial large ribosomal subunit,YKL170W,MRPL38
mitochondtrial large ribosomal subunit,YKL167C,MRP49
mitochondtrial large ribosomal subunit,YKL138C,MRPL31
mitochondtrial large ribosomal subunit,YJL096W,MRPL49
mitochondtrial large ribosomal subunit,YJL063C,MRPL8
mitochondtrial large ribosomal subunit,YHR147C,MRPL6
mitochondtrial large ribosomal subunit,YGR220C,MRPL9
mitochondtrial large ribosomal subunit,YGR076C,MRPL25
mitochondtrial large ribosomal subunit,YEL050C,RML2
mitochondtrial large ribosomal subunit,YDR462W,MRPL28
mitochondtrial large ribosomal subunit,YDR405W,MRP20
mitochondtrial large ribosomal subunit,YDR322W,MRPL35
mitochondtrial large ribosomal subunit,YDR296W,MHR1
mitochondtrial large ribosomal subunit,YDR237W,MRPL7
mitochondtrial large ribosomal subunit,YDR116C,MRPL1
mitochondtrial large ribosomal subunit,YDR115W,MRX14
mitochondtrial large ribosomal subunit,YDL202W,MRPL11
mitochondtrial large ribosomal subunit,YCR071C,IMG2
mitochondtrial large ribosomal subunit,YCR046C,IMG1
mitochondtrial large ribosomal subunit,YCR003W,MRPL32
mitochondtrial large ribosomal subunit,YBR282W,MRPL27
mitochondtrial large ribosomal subunit,YBR268W,MRPL37
mitochondtrial large ribosomal subunit,YBR122C,MRPL36
mitochondtrial large ribosomal subunit,YBL038W,MRPL16
mitochondrial small ribosomal subunit,YFR049W,YMR31
mitochondrial small ribosomal subunit,YPR166C,MRP2
mitochondrial small ribosomal subunit,YPL118W,MRP51
mitochondrial small ribosomal subunit,YPL013C,MRPS16
mitochondrial small ribosomal subunit,YOR158W,PET123
mitochondrial small ribosomal subunit,YNR037C,RSM19
mitochondrial small ribosomal subunit,YNR036C,MRPS12
mitochondrial small ribosomal subunit,YNL306W,MRPS18
mitochondrial small ribosomal subunit,YNL137C,NAM9
mitochondrial small ribosomal subunit,YNL081C,SWS2
mitochondrial small ribosomal subunit,YMR188C,MRPS17
mitochondrial small ribosomal subunit,YMR158W,MRPS8
mitochondrial small ribosomal subunit,YKL155C,RSM22
mitochondrial small ribosomal subunit,YKL003C,MRP17
mitochondrial small ribosomal subunit,YJR113C,RSM7
mitochondrial small ribosomal subunit,YJR101W,RSM26
mitochondrial small ribosomal subunit,YIL093C,RSM25
mitochondrial small ribosomal subunit,YHR075C,PPE1
mitochondrial small ribosomal subunit,YHR059W,FYV4
mitochondrial small ribosomal subunit,YHL004W,MRP4
mitochondrial small ribosomal subunit,YGR215W,RSM27
mitochondrial small ribosomal subunit,YGR165W,MRPS35
mitochondrial small ribosomal subunit,YGR084C,MRP13
mitochondrial small ribosomal subunit,YGL129C,RSM23
mitochondrial small ribosomal subunit,YER050C,RSM18
mitochondrial small ribosomal subunit,YDR347W,MRP1
mitochondrial small ribosomal subunit,YDR337W,MRPS28
mitochondrial small ribosomal subunit,YDR175C,RSM24
mitochondrial small ribosomal subunit,YDR041W,RSM10
mitochondrial small ribosomal subunit,YDR036C,EHD3
mitochondrial small ribosomal subunit,YDL045W-A,MRP10
mitochondrial small ribosomal subunit,YBR251W,MRPS5
mitochondrial small ribosomal subunit,YBR146W,MRPS9
mitochondrial small ribosomal subunit,YBL090W,MRP21
"preribosome, large subunit precursor",YGR103W,NOP7
"preribosome, large subunit precursor",YPL093W,NOG1
"preribosome, large subunit precursor",YOR206W,NOC2
"preribosome, large subunit precursor",YHR052W,CIC1
"preribosome, large subunit precursor",YPR016C,TIF6
"preribosome, large subunit precursor",YPL211W,NIP7
"preribosome, large subunit precursor",YOR272W,YTM1
"preribosome, large subunit precursor",YOL077C,BRX1
"preribosome, large subunit precursor",YNL110C,NOP15
"preribosome, large subunit precursor",YNL061W,NOP2
"preribosome, large subunit precursor",YNL002C,RLP7
"preribosome, large subunit precursor",YMR290C,HAS1
"preribosome, large subunit precursor",YMR229C,RRP5
"preribosome, large subunit precursor",YMR049C,ERB1
"preribosome, large subunit precursor",YLR449W,FPR4
"preribosome, large subunit precursor",YLR002C,NOC3
"preribosome, large subunit precursor",YLL034C,RIX7
"preribosome, large subunit precursor",YLL008W,DRS1
"preribosome, large subunit precursor",YKR081C,RPF2
"preribosome, large subunit precursor",YKL172W,EBP2
"preribosome, large subunit precursor",YKL009W,MRT4
"preribosome, large subunit precursor",YHR088W,RPF1
"preribosome, large subunit precursor",YGL111W,NSA1
"preribosome, large subunit precursor",YFL002C,SPB4
"preribosome, large subunit precursor",YER006W,NUG1
"preribosome, large subunit precursor",YDR496C,PUF6
"preribosome, large subunit precursor",YDR087C,RRP1
"preribosome, large subunit precursor",YDL031W,DBP10
"preribosome, large subunit precursor",YCL054W,SPB1
"preribosome, large subunit precursor",YBR142W,MAK5
"preribosome, large subunit precursor",YNR038W,DBP6
"preribosome, large subunit precursor",YLR221C,RSA3
"preribosome, large subunit precursor",YLR022C,SDO1
"preribosome, large subunit precursor",YER126C,NSA2
U4/U6 x U5 tri-snRNP complex,YEL026W,SNU13
U4/U6 x U5 tri-snRNP complex,YPR182W,SMX3
U4/U6 x U5 tri-snRNP complex,YOR159C,SME1
U4/U6 x U5 tri-snRNP complex,YLR275W,SMD2
U4/U6 x U5 tri-snRNP complex,YLR147C,SMD3
U4/U6 x U5 tri-snRNP complex,YGR074W,SMD1
U4/U6 x U5 tri-snRNP complex,YFL017W-A,SMX2
U4/U6 x U5 tri-snRNP complex,YER029C,SMB1
U4/U6 x U5 tri-snRNP complex,YGR006W,PRP18
U4/U6 x U5 tri-snRNP complex,YNL147W,LSM7
U4/U6 x U5 tri-snRNP complex,YLR438C-A,LSM3
U4/U6 x U5 tri-snRNP complex,YJR022W,LSM8
U4/U6 x U5 tri-snRNP complex,YER146W,LSM5
U4/U6 x U5 tri-snRNP complex,YER112W,LSM4
U4/U6 x U5 tri-snRNP complex,YDR378C,LSM6
U4/U6 x U5 tri-snRNP complex,YBL026W,LSM2
U4/U6 x U5 tri-snRNP complex,YPR178W,PRP4
U4/U6 x U5 tri-snRNP complex,YOR308C,SNU66
U4/U6 x U5 tri-snRNP complex,YGR091W,PRP31
U4/U6 x U5 tri-snRNP complex,YGR075C,PRP38
U4/U6 x U5 tri-snRNP complex,YDR473C,PRP3
U4/U6 x U5 tri-snRNP complex,YDL098C,SNU23
U4/U6 x U5 tri-snRNP complex,YBR152W,SPP381
U4/U6 x U5 tri-snRNP complex,YBR055C,PRP6
U4/U6 x U5 tri-snRNP complex,YPR082C,DIB1
U4/U6 x U5 tri-snRNP complex,YKL173W,SNU114
U4/U6 x U5 tri-snRNP complex,YHR165C,PRP8
U4/U6 x U5 tri-snRNP complex,YER172C,BRR2
commitment complex,YPR182W,SMX3
commitment complex,YOR159C,SME1
commitment complex,YLR275W,SMD2
commitment complex,YLR147C,SMD3
commitment complex,YGR074W,SMD1
commitment complex,YFL017W-A,SMX2
commitment complex,YER029C,SMB1
commitment complex,YPL178W,CBC2
commitment complex,YMR125W,STO1
commitment complex,YML046W,PRP39
commitment complex,YLR298C,YHC1
commitment complex,YLR116W,MSL5
commitment complex,YKL074C,MUD2
commitment complex,YKL012W,PRP40
commitment complex,YIL061C,SNP1
commitment complex,YHR086W,NAM8
commitment complex,YGR013W,SNU71
commitment complex,YDR240C,SNU56
commitment complex,YDR235W,PRP42
commitment complex,YDL087C,LUC7
commitment complex,YBR119W,MUD1
U2 snRNP complex,YPR182W,SMX3
U2 snRNP complex,YOR159C,SME1
U2 snRNP complex,YLR275W,SMD2
U2 snRNP complex,YLR147C,SMD3
U2 snRNP complex,YGR074W,SMD1
U2 snRNP complex,YFL017W-A,SMX2
U2 snRNP complex,YER029C,SMB1
U2 snRNP complex,YOR319W,HSH49
U2 snRNP complex,YMR288W,HSH155
U2 snRNP complex,YMR240C,CUS1
U2 snRNP complex,YML049C,RSE1
U2 snRNP complex,YIR005W,IST3
U2 snRNP complex,YPL213W,LEA1
U2 snRNP complex,YNL286W,CUS2
U2 snRNP complex,YJL203W,PRP21
U2 snRNP complex,YIR009W,MSL1
U2 snRNP complex,YDL043C,PRP11
U2 snRNP complex,YDL030W,PRP9
U5 snRNP complex,YPR182W,SMX3
U5 snRNP complex,YOR159C,SME1
U5 snRNP complex,YLR275W,SMD2
U5 snRNP complex,YLR147C,SMD3
U5 snRNP complex,YGR074W,SMD1
U5 snRNP complex,YFL017W-A,SMX2
U5 snRNP complex,YER029C,SMB1
U5 snRNP complex,YPR082C,DIB1
U5 snRNP complex,YKL173W,SNU114
U5 snRNP complex,YHR165C,PRP8
U5 snRNP complex,YER172C,BRR2
U5 snRNP complex,YHR156C,LIN1
U5 snRNP complex,YDR243C,PRP28
U5 snRNP complex,YBL074C,AAR2
Kornberg's mediator (SRB) complex,YPL129W,TAF14
Kornberg's mediator (SRB) complex,YPL042C,SSN3
Kornberg's mediator (SRB) complex,YNL025C,SSN8
Kornberg's mediator (SRB) complex,YDL140C,RPO21
Kornberg's mediator (SRB) complex,YGL151W,NUT1
Kornberg's mediator (SRB) complex,YDR443C,SSN2
Kornberg's mediator (SRB) complex,YCR081W,SRB8
Kornberg's mediator (SRB) complex,YPR168W,NUT2
Kornberg's mediator (SRB) complex,YPR070W,MED1
Kornberg's mediator (SRB) complex,YOR174W,MED4
Kornberg's mediator (SRB) complex,YOL135C,MED7
Kornberg's mediator (SRB) complex,YOL051W,GAL11
Kornberg's mediator (SRB) complex,YNR010W,CSE2
Kornberg's mediator (SRB) complex,YNL236W,SIN4
Kornberg's mediator (SRB) complex,YMR112C,MED11
Kornberg's mediator (SRB) complex,YLR071C,RGR1
Kornberg's mediator (SRB) complex,YHR058C,MED6
Kornberg's mediator (SRB) complex,YHR041C,SRB2
Kornberg's mediator (SRB) complex,YGR104C,SRB5
Kornberg's mediator (SRB) complex,YGL127C,SOH1
Kornberg's mediator (SRB) complex,YGL025C,PGD1
Kornberg's mediator (SRB) complex,YER022W,SRB4
Kornberg's mediator (SRB) complex,YDR308C,SRB7
Kornberg's mediator (SRB) complex,YDL005C,MED2
Kornberg's mediator (SRB) complex,YBR253W,SRB6
Kornberg's mediator (SRB) complex,YBR193C,MED8
Kornberg's mediator (SRB) complex,YBL093C,ROX3
RSC complex,YBL006C,LDB7
RSC complex,YDR225W,HTA1
RSC complex,YOR156C,NFI1
RSC complex,YGL013C,PDR1
RSC complex,YMR091C,NPL6
RSC complex,YML127W,RSC9
RSC complex,YLR357W,RSC2
RSC complex,YLR321C,SFH1
RSC complex,YLR033W,RSC58
RSC complex,YKR008W,RSC4
RSC complex,YIL126W,STH1
RSC complex,YHR056C,RSC30
RSC complex,YGR056W,RSC1
RSC complex,YFR037C,RSC8
RSC complex,YDR303C,RSC3
RSC complex,YCR052W,RSC6
RSC complex,YCR020W-B,HTL1
RSC complex,YPR034W,ARP7
RSC complex,YMR033W,ARP9
RSC complex,YGR275W,RTT102
RSC complex,YPL016W,SWI1
RSC complex,YNR023W,SNF12
RSC complex,YJL176C,SWI3
RSC complex,YHL025W,SNF6
RSC complex,YFL049W,SWP82
RSC complex,YDR073W,SNF11
RSC complex,YBR289W,SNF5
RSC complex,YOR290C,SNF2
Ada2/Gcn5/Ada3 transcription activator complex,YOL148C,SPT20
Ada2/Gcn5/Ada3 transcription activator complex,YGR252W,GCN5
Ada2/Gcn5/Ada3 transcription activator complex,YDR448W,ADA2
Ada2/Gcn5/Ada3 transcription activator complex,YDR392W,SPT3
Ada2/Gcn5/Ada3 transcription activator complex,YDR176W,NGG1
Ada2/Gcn5/Ada3 transcription activator complex,YBR081C,SPT7
Ada2/Gcn5/Ada3 transcription activator complex,YPL254W,HFI1
Ada2/Gcn5/Ada3 transcription activator complex,YDR167W,TAF10
Ada2/Gcn5/Ada3 transcription activator complex,YBR198C,TAF5
Ada2/Gcn5/Ada3 transcription activator complex,YOR023C,AHC1
"DNA-directed RNA polymerase II, holoenzyme",YOL148C,SPT20
"DNA-directed RNA polymerase II, holoenzyme",YGR252W,GCN5
"DNA-directed RNA polymerase II, holoenzyme",YDR448W,ADA2
"DNA-directed RNA polymerase II, holoenzyme",YDR392W,SPT3
"DNA-directed RNA polymerase II, holoenzyme",YDR176W,NGG1
"DNA-directed RNA polymerase II, holoenzyme",YBR081C,SPT7
"DNA-directed RNA polymerase II, holoenzyme",YPL254W,HFI1
"DNA-directed RNA polymerase II, holoenzyme",YPL042C,SSN3
"DNA-directed RNA polymerase II, holoenzyme",YNL025C,SSN8
"DNA-directed RNA polymerase II, holoenzyme",YML010W,SPT5
"DNA-directed RNA polymerase II, holoenzyme",YLR055C,SPT8
"DNA-directed RNA polymerase II, holoenzyme",YGL151W,NUT1
"DNA-directed RNA polymerase II, holoenzyme",YDL115C,IWR1
"DNA-directed RNA polymerase II, holoenzyme",YGR097W,ASK10
"DNA-directed RNA polymerase II, holoenzyme",YBR236C,ABD1
transcription factor TFIID complex,YPL129W,TAF14
transcription factor TFIID complex,YOL148C,SPT20
transcription factor TFIID complex,YGR252W,GCN5
transcription factor TFIID complex,YDR448W,ADA2
transcription factor TFIID complex,YDR392W,SPT3
transcription factor TFIID complex,YDR176W,NGG1
transcription factor TFIID complex,YBR081C,SPT7
transcription factor TFIID complex,YER148W,SPT15
transcription factor TFIID complex,YDR167W,TAF10
transcription factor TFIID complex,YBR198C,TAF5
transcription factor TFIID complex,YMR236W,TAF9
transcription factor TFIID complex,YGR274C,TAF1
transcription factor TFIID complex,YGL112C,TAF6
transcription factor TFIID complex,YDR145W,TAF12
transcription factor TFIID complex,YMR227C,TAF7
transcription factor TFIID complex,YPL011C,TAF3
transcription factor TFIID complex,YMR005W,TAF4
transcription factor TFIID complex,YML114C,TAF8
transcription factor TFIID complex,YML098W,TAF13
transcription factor TFIID complex,YML015C,TAF11
transcription factor TFIID complex,YCR042C,TAF2
SLIK (SAGA-like) complex,YOL148C,SPT20
SLIK (SAGA-like) complex,YGR252W,GCN5
SLIK (SAGA-like) complex,YDR448W,ADA2
SLIK (SAGA-like) complex,YDR392W,SPT3
SLIK (SAGA-like) complex,YDR176W,NGG1
SLIK (SAGA-like) complex,YBR081C,SPT7
SLIK (SAGA-like) complex,YPL254W,HFI1
SLIK (SAGA-like) complex,YDR167W,TAF10
SLIK (SAGA-like) complex,YBR198C,TAF5
SLIK (SAGA-like) complex,YMR236W,TAF9
SLIK (SAGA-like) complex,YLR055C,SPT8
SLIK (SAGA-like) complex,YHR099W,TRA1
SLIK (SAGA-like) complex,YGR274C,TAF1
SLIK (SAGA-like) complex,YGL252C,RTG2
SLIK (SAGA-like) complex,YGL112C,TAF6
SLIK (SAGA-like) complex,YER164W,CHD1
SLIK (SAGA-like) complex,YDR145W,TAF12
